opponent,location,result,opening,moves,white_move_1,black_move_1,white_move_2,black_move_2,white_move_3,black_move_3,white_move_4,black_move_4,white_move_5,black_move_5,white_move_6,black_move_6,white_move_7,black_move_7,white_move_8,black_move_8,white_move_9,black_move_9,white_move_10,black_move_10
"Mainka, Romuald",Dortmund,0.0,"Sicilian Defense: Taimanov Variation, Bastrikov Variation",1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3 Qc7 6. g3 a6 7. Bg2 d6 8. O-O Be7 9. Re1 Bd7 10. Nxc6 Bxc6 11. Qg4 h5 12. Qe2 h4 13. a4 hxg3 14. hxg3 Nf6 15. Bd2 b6 16. Qc4 Qd7 17. Be3 Qb7 18. b4 Rc8 19. Qd4 Bd7 20. Ra3 e5 21. Qxb6 Qxb6 22. Bxb6 d5 23. Nxd5 Nxd5 24. exd5 Bxb4 25. Rxe5+ Kf8 26. Ra2 f6 27. Re3 a5 28. Bd4 Kf7 29. Bf1 Bc5 30. Bxc5 Rxc5 31. Rb2 Bxa4 32. Rb7+ Kg6 33. Bd3+ Kh6 34. Re4,e4,c5,Nf3,e6,d4,cxd4,Nxd4,Nc6,Nc3,Qc7,g3,a6,Bg2,d6,O-O,Be7,Re1,Bd7,Nxc6,Bxc6
"Illescas Cordoba, Miguel",Pamplona,1.0,"Sicilian Defense: Taimanov Variation, Bastrikov Variation",1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3 Qc7 6. g3 a6 7. Bg2 d6 8. O-O Bd7 9. Re1 Be7 10. Nxc6 Bxc6 11. a4 Nf6 12. Be3 O-O 13. a5 Nd7 14. Na4 Rae8 15. Nb6 f5 16. Nxd7 Qxd7 17. Bb6 f4 18. c3 Bd8 19. Bxd8 Rxd8 20. Qg4 Qf7 21. Qxf4 Qxf4 22. gxf4 Rxf4 23. Rad1 Kf7 24. Rd3 e5 25. Rf3 g5 26. Rd1 g4 27. Re3 Ke7 28. Rd2 h5 29. c4 h4 30. Rde2 Rc8 31. Rb3 h3 32. Bh1 Bb5 33. Rc2 d5 34. exd5 Rcxc4 35. Rxc4 Rxc4 36. Rc3 Rd4 37. Rc1 e4 38. Re1 Be2 39. Bg2 Bf3 40. Bf1 Kd6 41. Rb1 Rd2 42. Re1 Rxb2 43. Rb1 Ra2 44. Ra1 Rd2 45. Ra3 Ke5 46. d6 Rd1 47. d7 Bg2 48. f4+ Kxf4 49. Kf2 Rd2+,e4,c5,Nf3,e6,d4,cxd4,Nxd4,Nc6,Nc3,Qc7,g3,a6,Bg2,d6,O-O,Bd7,Re1,Be7,Nxc6,Bxc6
"Kindermann, Stefan",Munich,1.0,"Sicilian Defense: Taimanov Variation, Bastrikov Variation",1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Qc7 5. Nc3 e6 6. g3 a6 7. Bg2 d6 8. O-O Be7 9. Be3 Ne5 10. a4 Bf6 11. Qe2 Bd7 12. Rad1 Rc8 13. Bc1 Qb6 14. Nb3 Nc4 15. Rd3 Ne7 16. Kh1 Nc6 17. f4 Nb4 18. Rdf3 O-O 19. g4 g6 20. f5 exf5 21. gxf5 Bg7 22. f6 Bh8 23. Bh3 Bxh3 24. Rxh3 d5 25. Qf3 Rfe8 26. exd5 Qd6 27. Rh4 Nxc2 28. Qh3 N4e3 29. Rxh7 Bxf6 30. Ne4 Qxd5 31. Rxf6 Rxe4 32. Rh8+ Kg7 33. Rxf7+ Kxf7 34. Rh7+ Kf6,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,Qc7,Nc3,e6,g3,a6,Bg2,d6,O-O,Be7,Be3,Ne5,a4,Bf6
"Wahls, Matthias",Munich,1.0,Sicilian Defense: Godiva Variation,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Qb6 5. Nb3 Nf6 6. Nc3 e6 7. Bd3 a6 8. f4 d5 9. e5 Nd7 10. Qg4 a5 11. a4 Qb4 12. O-O Ncxe5 13. Qe2 Nxd3 14. Qxd3 Nc5 15. Qg3 Nxb3 16. cxb3 Bc5+ 17. Kh1 O-O 18. f5 exf5 19. Nxd5 Qg4 20. Qc7 Qd4 21. Be3 Qxd5 22. Bxc5 Re8 23. b4 Re2 24. Qg3 Be6 25. Rad1 f4 26. Rxd5 fxg3 27. Rg5 axb4 28. Rxg3 b3 29. Bd4 g6 30. h3 h6 31. Bf6 Rxa4 32. Rd3 g5 33. Rd8+ Kh7 34. Rh8+ Kg6 35. Rg8+ Kh5 36. Rd8 g4 37. Rd3 Rae4 38. Kg1 gxh3 39. gxh3 R4e3 40. Rf3 Rxd3 41. Rxd3 Kg6 42. Bc3 Kf5 43. Rd4 b5 44. Kf1 Re3,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,Qb6,Nb3,Nf6,Nc3,e6,Bd3,a6,f4,d5,e5,Nd7,Qg4,a5
"Tolnai, Tibor",Budapest,1.0,Sicilian Defense: Godiva Variation,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Qb6 5. Nb3 Nf6 6. Nc3 e6 7. Be3 Qc7 8. Bd3 a6 9. Qe2 b5 10. O-O-O Bb7 11. f4 Bb4 12. Bd2 Bxc3 13. Bxc3 Qxf4+ 14. Kb1 b4 15. Rhf1 Qg4 16. Bxf6 Qxe2 17. Bxe2 gxf6 18. Nc5 Bc8 19. Rxf6 Rg8 20. Rf2 Ke7 21. g3 a5 22. Rdf1 Rf8 23. Rf6 d6 24. Nd3 Nd4 25. Bh5 Nf5 26. Rxf7+ Rxf7 27. Bxf7 Kxf7 28. exf5 exf5 29. Nf4 Bb7 30. Rd1 Rd8 31. Rd4 Be4 32. Rc4 Rd7 33. Kc1 Kf6 34. Rc8 Rb7 35. Kd2 a4 36. Rf8+ Ke7 37. Rh8 Kf6 38. Rf8+ Ke5 39. Re8+ Kd4 40. Re6 Kc5 41. Re8 Kd4 42. Re6 Kc5 43. Re8 Kb5 44. Ne6 a3 45. b3 h5 46. Rc8 h4 47. Nd4+ Ka5 48. Rf8 hxg3 49. hxg3 Rc7 50. Rd8 Rc3 51. Rxd6 Rxg3,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,Qb6,Nb3,Nf6,Nc3,e6,Be3,Qc7,Bd3,a6,Qe2,b5,O-O-O,Bb7
"Frolov, Artur",Budapest,0.5,"Sicilian Defense: Taimanov Variation, Bastrikov Variation, English Attack",1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3 Qc7 6. Be3 a6 7. Qd2 b5 8. f3 Bb7 9. O-O-O Bb4 10. a3 Be7 11. Nxc6 Bxc6 12. Nd5 Bxd5 13. exd5 Rc8 14. dxe6 dxe6 15. Bf4 Qc6 16. Bd3 Nf6 17. Be5 Qd5 18. Rhe1 O-O 19. Kb1 Rfd8 20. Qg5 Qc5 21. c3 Rd5 22. Bc2 Rcd8 23. Rxd5 Rxd5 24. Qe3 Qxe3 25. Rxe3 Rd2 26. g4 Nd5 27. Rd3 Re2 28. Bg3 h5 29. gxh5 Bg5 30. Bb3 Nf4 31. Rd6 Nxh5 32. Rxa6 Re3 33. Rb6 Nxg3 34. Rxb5 Re1+ 35. Ka2 Nf5 36. Bc2 g6 37. a4 Be3 38. Bxf5 exf5 39. a5 Rf1 40. c4 Rxf3,e4,c5,Nf3,e6,d4,cxd4,Nxd4,Nc6,Nc3,Qc7,Be3,a6,Qd2,b5,f3,Bb7,O-O-O,Bb4,a3,Be7
"Larsen, Bent",Buenos Aires,0.0,Sicilian Defense: Godiva Variation,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Qb6 5. Nb3 Nf6 6. Nc3 e6 7. Bd3 a6 8. O-O d6 9. a4 Qc7 10. a5 Nd7 11. Bf4 Be7 12. Qd2 O-O 13. Rfd1 b5 14. axb6 Qxb6 15. Be2 Nc5 16. Nxc5 dxc5 17. Na4 Qa7 18. Be3 Rd8 19. Qc1 Rxd1+ 20. Qxd1 Bb7 21. c3 Rd8 22. Qc2 Ne5 23. Rd1 Nd7 24. b4 Qa8 25. Nxc5 Bxc5 26. bxc5 Bxe4 27. Qa4 Bc6 28. Qxa6 Qxa6 29. Bxa6 Ra8 30. Be2 Kf8 31. Bf3 Bxf3 32. gxf3 Ne5 33. Kg2 Rc8 34. f4 Nc4 35. Bd4 f6 36. Rb1 Kf7 37. Rb4 Na5 38. Kf3 Rc7 39. Ke4 Nc6 40. Rb1 Ke7 41. Kd3 Kd7 42. Rg1 Kc8 43. h4 Rd7 44. Ke4 f5+ 45. Kd3 g6 46. Re1 Re7 47. Kc4 Re8 48. Ra1 Kd7 49. Be5 h6 50. Bd6 Rg8 51. Rg1 Kc8 52. Kb5 Kb7 53. Re1 Re8 54. Rb1 Rc8 55. Kc4+ Ka7 56. Rg1 Rg8 57. h5 g5 58. fxg5 hxg5 59. h6 g4 60. Ra1+ Kb7 61. Rb1+ Ka7 62. Rb6,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,Qb6,Nb3,Nf6,Nc3,e6,Bd3,a6,O-O,d6,a4,Qc7,a5,Nd7
"Gurevich, Ilya",Hastings,0.5,Sicilian Defense: Godiva Variation,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Qb6 5. Nb3 Nf6 6. Nc3 e6 7. Bd3 a6 8. O-O Qc7 9. a4 b6 10. f4 d6 11. Be3 Bb7 12. Qe2 Be7 13. Nd2 d5 14. e5 Nd7 15. Nf3 g6 16. Qf2 Nc5 17. Rfd1 O-O-O 18. Nd4 Nb4 19. a5 bxa5 20. Na4 Nxa4 21. Rxa4 Kb8 22. Bf1 g5 23. fxg5 Rhg8 24. c3 Nc6 25. Nxc6+ Qxc6 26. Rxa5 d4 27. Rxd4 Rxd4 28. Bxd4 Bxg5 29. b4 Bh4 30. Qb2 Qe4 31. Ra1 Bg5 32. Qe2 Qc6 33. Rb1 Qd5 34. b5 a5 35. Rd1 Qb3 36. Ra1 Bd8 37. Qa2 Qxa2 38. Rxa2 Bd5 39. Ra3 Kb7 40. Kf2 Rg4 41. g3 Bb6 42. Bd3 h6 43. Ke3 Bxd4+ 44. cxd4 Kb6 45. Be2 Rg8 46. Kd2 Ra8 47. Kc3 Rc8+ 48. Kb2 f6 49. exf6,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,Qb6,Nb3,Nf6,Nc3,e6,Bd3,a6,O-O,Qc7,a4,b6,f4,d6
"Romero Holmes, Alfonso",Madrid,0.5,Sicilian Defense: Taimanov Variation,1. e4 c5 2. Nf3 Nc6 3. Nc3 e6 4. d4 cxd4 5. Nxd4 a6 6. Nxc6 bxc6 7. e5 Qc7 8. Bf4 Ne7 9. Bd3 Ng6 10. Bxg6 hxg6 11. O-O c5 12. Qe2 Rb8 13. b3 Bb7 14. Ne4 Rh4 15. g3 Rh5 16. Rad1 Rxe5 17. Bxe5 Qxe5 18. Qd3 d5 19. Rfe1 Qc7 20. Ng5 Qc6 21. Qf3 Qd7 22. Qf4 Rc8 23. c3 Rc6 24. Rxd5 Qc7 25. Qxc7 Rxc7 26. Rd2 c4 27. b4 Be7 28. f4 Bd5 29. Kf2 a5 30. a3 axb4 31. axb4 Ra7 32. Nf3 Ra3 33. Rc2 Bxb4 34. cxb4 Rxf3+ 35. Ke2 Rb3 36. Kd2 Rxb4 37. Re3 Ke7 38. Re1 Kd6 39. Rc3 Kc5 40. Ke3 Rb2 41. Re2 Rb1 42. Rec2 Rf1 43. Rc1 Rf3+ 44. Ke2 Rxc3 45. Rxc3 Kd4 46. Ra3 e5 47. fxe5 g5 48. g4 Kxe5 49. Ke3 g6 50. Ra6 f5 51. Kd2 Kd4 52. gxf5 gxf5 53. h4 c3+ 54. Kc1 gxh4 55. Rh6 f4 56. Rxh4 Ke3 57. Rxf4,e4,c5,Nf3,Nc6,Nc3,e6,d4,cxd4,Nxd4,a6,Nxc6,bxc6,e5,Qc7,Bf4,Ne7,Bd3,Ng6,Bxg6,hxg6
"Yudasin, Leonid",Madrid,0.0,Sicilian Defense: Godiva Variation,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Qb6 5. Nb5 a6 6. Be3 Qa5+ 7. N5c3 e6 8. Bd3 b5 9. Nd2 Qc7 10. O-O Nf6 11. f4 b4 12. Na4 Rb8 13. Qe2 Qa5 14. Nc4 Qxa4 15. b3 Qb5 16. Nd6+ Bxd6 17. Bxb5 Rxb5 18. e5 Nxe5 19. Rad1 Nd5 20. a4 bxa3 21. Bd2 Ng6 22. c4 Bc5+ 23. Kh1 Ndxf4 24. Bxf4 Rxb3 25. Bd6 Bxd6 26. Rxd6 O-O 27. Rd3 Rb2 28. Rd2 Rb4 29. Ra2 a5 30. Rxa3 Ba6 31. Rxa5 Bxc4 32. Qd2 Rfb8 33. Rc1 d5 34. h3 h5 35. Ra7 e5 36. Qf2 Nf4 37. Qc5 Bd3 38. Qe7 Bg6 39. Rc6 Rb1+ 40. Kh2 Rf1 41. Qxe5 Rf8 42. Qe7 Bf5 43. Rd6 Ng6 44. Qe2 Rc1 45. Qxh5 Be4 46. Ra2 Rf1 47. Qg5 Rf5 48. Qg3 Rf1 49. Rd7 Nf4 50. Rb2 Rc8 51. Rxf7 Kxf7 52. Rb7+ Ke6 53. Qxg7 Bxg2 54. Qg4+ Ke5 55. Re7+ Kd4 56. Qxc8 Be4 57. Ra7 Rf2+ 58. Kg3 Rf3+ 59. Kg4 Nd3 60. Qh8+ Ne5+ 61. Kh4 Rf4+ 62. Kg3 Rf3+ 63. Kh2 Rf2+ 64. Kg1 Rf5 65. Re7 Rg5+ 66. Kf2 Rf5+ 67. Kg3 Rg5+ 68. Kh4 Rf5 69. Rxe5,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,Qb6,Nb5,a6,Be3,Qa5+,N5c3,e6,Bd3,b5,Nd2,Qc7,O-O,Nf6
"Gurevich, Ilya",New York,0.5,Sicilian Defense: Godiva Variation,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Qb6 5. Nb5 a6 6. Be3 Qd8 7. N5a3 b5 8. c4 b4 9. Nc2 Nf6 10. Nd2 Bb7 11. f4 d6 12. Qf3 g6 13. O-O-O Bg7 14. e5 dxe5 15. fxe5 Nd7 16. e6 fxe6 17. Nb3 Qc7 18. Qh3 Bc8 19. Be2 Nf6 20. Bh6 O-O 21. Bxg7 Kxg7 22. Qe3 Rb8 23. Rhe1 e5 24. Bf3 Bf5 25. Nc5 Qb6 26. h3 Kg8 27. Nb3 Qxe3+ 28. Nxe3 Be4 29. Bxe4 Nxe4 30. Nd5 Ng3 31. Nc5 Rbc8 32. Nd7 Rf7 33. b3 Rf2 34. Rd2 Rxd2 35. Kxd2 e6,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,Qb6,Nb5,a6,Be3,Qd8,N5a3,b5,c4,b4,Nc2,Nf6,Nd2,Bb7
