opponent,location,result,opening,moves,white_move_1,black_move_1,white_move_2,black_move_2,white_move_3,black_move_3,white_move_4,black_move_4,white_move_5,black_move_5,white_move_6,black_move_6,white_move_7,black_move_7,white_move_8,black_move_8,white_move_9,black_move_9,white_move_10,black_move_10
"Arkell, Keith C",London,1.0,"Caro-Kann Defense: Panov Attack, Fianchetto Defense",1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. Nc3 g6 6. Qb3 Bg7 7. cxd5 O-O 8. Be2 Nbd7 9. Bf3 Nb6 10. Nge2 Bg4 11. Bxg4 Nxg4 12. a4 Nf6 13. a5 Nbxd5 14. Qxb7 Qd6 15. Qb3 Rab8 16. Qd1 Rfc8 17. O-O Rc6 18. h3 Ra6 19. Qd3 Nb4 20. Qf3 Qc6 21. Qxc6 Nxc6 22. d5 Nb4 23. Rd1 Rd8 24. Bg5 Rad6 25. Bf4 R6d7 26. d6 e6 27. Na4 Nfd5 28. Bg3 Rb7 29. Nec3 Nxc3 30. bxc3 Nc6 31. a6 Rb5 32. d7 Rd5 33. Rxd5 exd5 34. Nc5 Bf8 35. Bc7 Bxc5 36. Bxd8 Nxd8 37. Ra5 Bb6 38. Rb5 Bc7 39. Rb7 Ba5 40. Rxa7,e4,c6,d4,d5,exd5,cxd5,c4,Nf6,Nc3,g6,Qb3,Bg7,cxd5,O-O,Be2,Nbd7,Bf3,Nb6,Nge2,Bg4
"Hennigan, Michael",London,1.0,"Pirc Defense: Austrian Attack, Dragon Formation",1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nf6 5. Nf3 c5 6. dxc5 Qa5 7. Bd3 Qxc5 8. Qe2 O-O 9. Be3 Qa5 10. h3 Nh5 11. Kf2 e5 12. f5 Nf4 13. Bxf4 exf4 14. Qd2 Nc6 15. Qxf4 Qb6+ 16. Qe3 Qxb2 17. Nd5 Nb4 18. Nxb4 Qxb4 19. Rab1 Qa5 20. g4 b6 21. g5 Re8 22. f6 Bf8 23. Qf4 d5 24. e5 Bc5+ 25. Kg3 Ba6 26. h4 Qa3 27. Rbd1 Rad8 28. h5 Rd7 29. hxg6 fxg6 30. Bxa6 Qxa6 31. Qg4 Qe2 32. Rd2 Bf2+ 33. Kg2 Qe4,e4,g6,d4,Bg7,Nc3,d6,f4,Nf6,Nf3,c5,dxc5,Qa5,Bd3,Qxc5,Qe2,O-O,Be3,Qa5,h3,Nh5
"Dunnington, Angus J",London,1.0,Modern Defense: Standard Line,1. e4 g6 2. d4 Bg7 3. Nc3 c6 4. Be3 d5 5. Qd2 dxe4 6. Nxe4 Nd7 7. O-O-O Ngf6 8. Nxf6+ Nxf6 9. Nf3 O-O 10. Ne5 Be6 11. Kb1 a5 12. h4 h5 13. f3 a4 14. a3 Qa5 15. Qxa5 Rxa5 16. Re1 Raa8 17. Bg5 Bf5 18. Rg1 Rad8 19. g4 hxg4 20. fxg4 Bc8 21. c3 Nd5 22. Bd2 Bf6 23. h5 Bxe5 24. Rxe5 b5 25. Bh6 Rfe8 26. Bd3 Kh7 27. hxg6+ fxg6 28. Rh1 Bxg4 29. Rg5,e4,g6,d4,Bg7,Nc3,c6,Be3,d5,Qd2,dxe4,Nxe4,Nd7,O-O-O,Ngf6,Nxf6+,Nxf6,Nf3,O-O,Ne5,Be6
"Lalic, Susan",London,1.0,Sicilian Defense: Paulsen-Basman Defense,1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Bc5 5. Nc3 Qb6 6. Be3 Nc6 7. Na4 Qa5+ 8. c3 Bxd4 9. Bxd4 Nxd4 10. Qxd4 e5 11. Qb4 Qxb4 12. cxb4 d6 13. Nc3 Nf6 14. g3 Be6 15. Bg2 Ke7 16. O-O-O Rhc8 17. Kb1 a5 18. b5 a4 19. Rd2 a3 20. Rhd1 axb2 21. Kxb2 Rc5 22. f4 Rac8 23. Rc1 exf4 24. gxf4 Ng4 25. Rd3 g5 26. h3 Bc4 27. Rg3 Nf2 28. Bf1 gxf4 29. Rf3 Nxe4 30. Nxe4 Rxb5+ 31. Ka1 Bd3 32. Re1 Bxf1 33. Rexf1 f5 34. Nc3 Rbc5 35. Ne2 Kf6 36. Rxf4 Re8 37. Ng3 Re3 38. Ne4+,e4,c5,Nf3,e6,d4,cxd4,Nxd4,Bc5,Nc3,Qb6,Be3,Nc6,Na4,Qa5+,c3,Bxd4,Bxd4,Nxd4,Qxd4,e5
"Jackson, Sheila",London,1.0,Vienna Game: Mieses Variation,1. e4 e5 2. Nc3 Nf6 3. g3 Nc6 4. Bg2 Bc5 5. d3 d6 6. h3 Be6 7. Nd5 h6 8. Ne2 a6 9. O-O Qd7 10. Kh2 O-O-O 11. Nxf6 gxf6 12. f4 Qe8 13. f5 Bd7 14. Nc3 Ne7 15. Qh5 Qg8 16. Ne2 Qg7 17. g4 Bc6 18. c4 Bd7 19. Bd2 Nc6 20. Ng3 Rdg8 21. Bh1 Nb4 22. Rf3 Nc2 23. Rb1 Nd4 24. Rff1 b5 25. Qh4 Qg5 26. Bxg5 hxg5 27. Qxh8 Rxh8 28. Nh5 Rh6 29. Bf3 Bc6 30. Kg2 Kd8 31. h4 Ke7 32. Rh1 gxh4 33. Rxh4 Rh8 34. Rhh1 Rg8 35. Ng3 Nc2 36. Rh6 b4 37. Nh5 Be3 38. Rh7 a5 39. Bd1 Nd4 40. b3 Nxf5 41. Kf3,e4,e5,Nc3,Nf6,g3,Nc6,Bg2,Bc5,d3,d6,h3,Be6,Nd5,h6,Ne2,a6,O-O,Qd7,Kh2,O-O-O
"Flear, Glenn C",Hastings,1.0,"King's Gambit Accepted: Bishop's Gambit, Cozio Defense",1. e4 e5 2. f4 exf4 3. Bc4 Nf6 4. d3 d5 5. exd5 Nxd5 6. Nf3 Nb6 7. Bb3 Bd6 8. Qe2+ Qe7 9. Nc3 Bg4 10. Qxe7+ Kxe7 11. Ne4 Bxf3 12. gxf3 Nc6 13. Nxd6 cxd6 14. Bxf4 Nd4 15. Kf2 Nxb3 16. axb3 a6 17. Ra5 Kd7 18. b4 Rhe8 19. c4 Re6 20. b5 axb5 21. Rxb5 Kc6 22. Rc1 Ra2 23. Rb3 Nd7 24. d4 Rf6 25. Bg3 b6 26. Re1 d5 27. cxd5+ Kxd5 28. Re7 Kc4 29. Rc3+ Kb4 30. Rc2 Kb3 31. Rd2 Ra7 32. d5 b5 33. d6 Rf5 34. Rd3+ Kc2 35. Rc3+ Kxb2 36. Rc7,e4,e5,f4,exf4,Bc4,Nf6,d3,d5,exd5,Nxd5,Nf3,Nb6,Bb3,Bd6,Qe2+,Qe7,Nc3,Bg4,Qxe7+,Kxe7
"Franklin, Michael J",Hastings,1.0,"Sicilian Defense: O'Kelly Variation, Yerevan System",1. e4 c5 2. Nf3 a6 3. Nc3 b5 4. d4 cxd4 5. Nxd4 Bb7 6. Bg5 Qc7 7. Bd3 e6 8. O-O Nc6 9. Nxc6 Qxc6 10. Qe2 Be7 11. Bxe7 Nxe7 12. Qg4 f5 13. exf5 exf5 14. Qh5+ g6 15. Qh3 O-O 16. a3 Rae8 17. Be2 Qf6 18. Qd3 Bc6 19. f4 Nc8 20. a4 Nb6 21. axb5 axb5 22. Nxb5 Nd5 23. Nd4 Ne3 24. Rf2 Bd5 25. Bf3 Qf7 26. Re1 Bc4 27. Qd2 Ng4 28. Rxe8 Rxe8 29. Bxg4 fxg4 30. b3 Bd5 31. c4 Ba8 32. f5 Qe7 33. fxg6 hxg6 34. Re2 Qf7 35. Rxe8+ Qxe8 36. Qe2,e4,c5,Nf3,a6,Nc3,b5,d4,cxd4,Nxd4,Bb7,Bg5,Qc7,Bd3,e6,O-O,Nc6,Nxc6,Qxc6,Qe2,Be7
"Sadler, Matthew",Hastings,1.0,"Sicilian Defense: Kan Variation, Modern Variation",1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6 5. Bd3 Nf6 6. O-O d6 7. Be3 Be7 8. c4 O-O 9. Nc3 Qc7 10. Rc1 Nbd7 11. b3 b6 12. f3 Bb7 13. Qe1 Rfe8 14. Qf2 Rac8 15. Rfd1 Bf8 16. Bf1 Ba8 17. g4 g6 18. Nde2 Qb7 19. g5 Nh5 20. Ng3 Ng7 21. h4 Rb8 22. Be2 f5 23. h5 gxh5 24. Qh2 h4 25. Qxh4 Ne5 26. Nh5 Nxh5 27. Qxh5 Qg7 28. Bd4 f4 29. Kf2 Bc6 30. a4 Be7 31. Na2 a5 32. Bc3 Rbd8 33. Bd4 Rb8 34. Bc3 Qg6 35. Rh1 Rb7 36. Rcg1 Bd8 37. Nc1 Rf8 38. Nd3 Nxd3+ 39. Bxd3 e5 40. c5 bxc5 41. Bc4+ Kg7 42. Qh6+ Qxh6 43. Rxh6 Be7 44. Rgh1 Rh8 45. g6 Bg5 46. Rxh7+ Rxh7 47. Rxh7+ Kxg6 48. Rxb7 Bxb7 49. Bxa5 Kh5 50. Bc7 Bc8 51. a5 Kh4 52. a6 d5 53. a7,e4,c5,Nf3,e6,d4,cxd4,Nxd4,a6,Bd3,Nf6,O-O,d6,Be3,Be7,c4,O-O,Nc3,Qc7,Rc1,Nbd7
"Singh, Sukh Dave",Hastings,1.0,"Sicilian Defense: Scheveningen Variation, Classical Variation",1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. Be2 a6 7. O-O Be7 8. f4 O-O 9. Be3 Qc7 10. a4 Nc6 11. Qe1 Nxd4 12. Bxd4 e5 13. Be3 exf4 14. Rxf4 Be6 15. Bd4 Nd7 16. Nd5 Bxd5 17. exd5 Ne5 18. c4 f5 19. Qc3 Rae8 20. Raf1 g6 21. c5 Nd7 22. c6 Bf6 23. Bxf6 Nxf6 24. Bf3 bxc6 25. dxc6 d5 26. Rb4 Re6 27. Rc1 Rc8 28. Rb7 Qxc6 29. Bxd5 Qxd5 30. Qxc8+ Ne8 31. Qd7,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,Nc3,e6,Be2,a6,O-O,Be7,f4,O-O,Be3,Qc7,a4,Nc6
"Szekely, Peter",Hastings,1.0,"Sicilian Defense: Najdorf Variation, Lipnitsky Attack",1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Bc4 e6 7. Bb3 Be7 8. f4 O-O 9. Qf3 Nc6 10. Be3 Qc7 11. f5 Nxd4 12. Bxd4 b5 13. a3 Rb8 14. g4 b4 15. g5 Nd7 16. f6 bxc3 17. fxg7 Ne5 18. gxf8=Q+ Kxf8 19. Qxc3 Qxc3+ 20. Bxc3 Bxg5 21. Rd1 Ke7 22. Ba5 Rb7 23. Ke2 Ng6 24. h4 Bf6 25. h5 Ne5 26. Bb4 Rb6 27. Rhg1 Bb7 28. Ba5 Rxb3 29. cxb3 Bxe4 30. Bb4 Bd5 31. Rxd5 exd5 32. Bc3 Ke6 33. b4 d4 34. Bxd4 Nf3 35. Kxf3 Bxd4 36. Rg2 h6 37. a4 Kd5 38. Rc2,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,Nc3,a6,Bc4,e6,Bb3,Be7,f4,O-O,Qf3,Nc6,Be3,Qc7
"Wood, David A",Hastings,1.0,"French Defense: Winawer Variation, Alekhine Gambit, Kan Variation",1. e4 e6 2. d4 d5 3. Nc3 Bb4 4. Ne2 dxe4 5. a3 Bxc3+ 6. Nxc3 Nc6 7. Bb5 Ne7 8. Bg5 f6 9. Be3 O-O 10. Qd2 f5 11. O-O-O a6 12. Bxc6 Nxc6 13. f3 exf3 14. gxf3 e5 15. d5 Nd4 16. Bxd4 exd4 17. Qxd4 Qd6 18. Rhg1 Rf7 19. Rg5 Bd7 20. Rdg1 Qh6 21. Kb1 Re8 22. f4 Rfe7 23. Ka2 Rf8 24. Nb1 Qf6 25. Qb4 b6 26. Nd2 Rff7 27. Nf3 Re4 28. Qd2 Rfe7 29. Ne5 Bb5 30. Kb1 R4xe5 31. fxe5 Qxe5 32. Rd1 h6 33. Rgg1 Qf6 34. Qf4 Re4 35. Qxc7,e4,e6,d4,d5,Nc3,Bb4,Ne2,dxe4,a3,Bxc3+,Nxc3,Nc6,Bb5,Ne7,Bg5,f6,Be3,O-O,Qd2,f5
"Barle, Janez",Reykjavik,0.5,"King's Gambit Accepted: Bishop's Gambit, Cozio Defense",1. e4 e5 2. f4 exf4 3. Bc4 Nf6 4. d3 d5 5. exd5 Nxd5 6. Nf3 Be7 7. O-O O-O 8. Bxd5 Qxd5 9. Bxf4 Bg4 10. Nc3 Qd8 11. Qd2 Nc6 12. Rae1 Qd7 13. Ne5 Nxe5 14. Bxe5 f6 15. Bf4 Rfe8 16. Qf2 c6 17. Ne4 Qd5 18. a3 Bh5 19. Be3 b6 20. Qg3 Bg6 21. Nc3 Qd7 22. Qf3 Rab8 23. Re2 Bd6 24. Rfe1 Be5 25. Bd2 Qd6 26. h3 Rbc8 27. b4 Qd7 28. Ne4 Qd5 29. Kh1 Rcd8 30. a4 Bb8 31. Bc3 Rf8 32. Nd2 Qd6 33. Nf1 Rde8 34. Rxe8 Rxe8 35. Qg4 Rxe1 36. Bxe1 f5 37. Qc4+ Bf7 38. Qh4 h6 39. Bc3 c5 40. a5 Bd5 41. axb6 axb6 42. bxc5 bxc5 43. Qf2 Be6 44. Kg1 Bc7 45. Bd2 f4 46. Nh2 Bd5 47. Nf3 c4 48. Kh1 cxd3 49. cxd3 Bb6 50. Qe2 Bxf3 51. Qxf3 Qd4 52. Qa8+ Kf7 53. Qb7+ Ke6 54. Qc6+ Ke7 55. Qb7+ Kd8 56. Qb8+ Kd7 57. Qb7+ Bc7 58. Qf3 g5 59. Kh2 Kd6 60. h4 Bb6 61. Kh3 Bd8 62. hxg5 hxg5 63. Kg4 Qa4 64. Bxf4+ gxf4,e4,e5,f4,exf4,Bc4,Nf6,d3,d5,exd5,Nxd5,Nf3,Be7,O-O,O-O,Bxd5,Qxd5,Bxf4,Bg4,Nc3,Qd8
"Einarsson, Halldor",Reykjavik,0.5,"Sicilian Defense: Taimanov Variation, Szén Variation",1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nb5 d6 6. Bf4 e5 7. Be3 Nf6 8. N5c3 Be6 9. Nd5 Bxd5 10. exd5 Ne7 11. c4 a6 12. Nc3 Nf5 13. Bd3 Nxe3 14. fxe3 Be7 15. O-O O-O 16. Qe2 g6 17. Rf2 Nd7 18. e4 Rc8 19. Raf1 Nc5 20. Bc2 Qc7 21. b4 Nd7 22. Bb3 Qb6 23. a3 Nf6 24. Kh1 Kg7 25. c5 dxc5 26. Na4 Qb5 27. Qxb5 axb5 28. d6 Bxd6 29. Nxc5 Be7 30. g4 h6 31. h4 g5 32. hxg5 hxg5 33. Kg2 Rc7 34. Rf5 Kg6 35. R1f3 b6 36. Nd3 Nxg4 37. Bxf7+ Kg7 38. Be6 Rxf5 39. Bxf5 Rc2+ 40. Kh3 Nf6 41. Nxe5 Bd6 42. Ng4 Nxg4 43. Kxg4 Rg2+ 44. Kh5 Bf4 45. Rc3 Rh2+ 46. Kg4 Rg2+ 47. Kh5 Rh2+ 48. Kg4 Rg2+ 49. Kh5,e4,c5,Nf3,e6,d4,cxd4,Nxd4,Nc6,Nb5,d6,Bf4,e5,Be3,Nf6,N5c3,Be6,Nd5,Bxd5,exd5,Ne7
"Bergsson, Snorri",Reykjavik,1.0,Sicilian Defense: Open,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 g6 6. Nxc6 bxc6 7. e5 Ng8 8. Bc4 Bg7 9. Qf3 f5 10. Bf4 e6 11. O-O-O Qc7 12. Qg3 Rb8 13. h4 Rb4 14. b3 Qa5 15. Nb1 Qxa2 16. Qd3 Ne7 17. Qd6 Rb7 18. Qc5 Bf8 19. Rd6 Nd5 20. Bxd5 Rb5 21. Rxe6+ dxe6 22. Bxc6+ Kf7 23. Qxb5 Ba3+ 24. Nxa3 Qxa3+ 25. Kb1 Rd8 26. Bc1,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,Nf6,Nc3,g6,Nxc6,bxc6,e5,Ng8,Bc4,Bg7,Qf3,f5,Bf4,e6
